name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lierde, Vlaanderen, BelgiÃ«",2023-06-23,25.5,13.3,19.7,25.5,13.3,19.7,14.5,74.8,0,4.8,0,,0,0,22.7,12.1,263.6,1023.3,53.2,9.8,252.5,21.8,8,10,2023-06-23T05:31:29,2023-06-23T22:02:07,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EBCV,EBCI,EBAW,LFQQ,AT575,EBBR"
"Lierde, Vlaanderen, BelgiÃ«",2023-06-24,25.5,13.2,20,25.5,13.2,20,14.4,71.4,0,0,0,,0,0,18.7,10.1,254.7,1024.3,18.9,24.1,346.3,30,9,10,2023-06-24T05:31:48,2023-06-24T22:02:12,0.2,Clear,Clear conditions throughout the day.,clear-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-25,30.1,15.1,23.1,29.7,15.1,23.1,15.3,64.8,0,47.6,0,rain,0,0,25.6,14,163.7,1016.3,1.6,24.1,342.2,29.6,9,30,2023-06-25T05:32:09,2023-06-25T22:02:14,0.24,Rain,Clear conditions throughout the day with storms possible.,rain,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-26,21.8,15,18.8,21.8,15,18.8,11.7,64.7,0,47.6,0,rain,0,0,33.1,18,270,1018.3,73.8,24.1,313.4,27.3,9,10,2023-06-26T05:32:34,2023-06-26T22:02:13,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-27,21.6,13.4,17.1,21.6,13.4,17.1,13.1,77.7,0,23.8,0,,0,0,35.3,20.2,243.2,1020.4,84,24.1,261.8,22.8,8,10,2023-06-27T05:33:01,2023-06-27T22:02:09,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-28,26.1,13.6,20,26.1,13.6,20,13.7,69.7,0.3,23.8,4.17,rain,0,0,40.7,28.8,244,1015.5,44.3,24.1,342.7,29.9,8,10,2023-06-28T05:33:31,2023-06-28T22:02:02,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-29,20.5,13.4,17.1,20.5,13.4,17.1,10.7,69,0.8,23.8,16.67,rain,0,0,35.3,26.6,259.8,1014.5,58.2,23.1,209.3,18.6,5,10,2023-06-29T05:34:03,2023-06-29T22:01:52,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-06-30,21.5,13.4,17,21.5,13.4,17,9.7,65.3,6,33.3,20.83,rain,0,0,43.6,32,249.5,1011.8,82,23.4,301.5,26.3,8,10,2023-06-30T05:34:38,2023-06-30T22:01:39,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-07-01,20,14.7,16.8,20,14.7,16.8,11.1,71.3,7.2,52.4,25,rain,0,0,63,34.2,259.7,1003.8,75.4,20.8,264.8,23.1,8,10,2023-07-01T05:35:16,2023-07-01T22:01:23,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
"Lierde, Vlaanderen, BelgiÃ«",2023-07-02,21.8,11.3,16.5,21.8,11.3,16.5,8.7,62.8,0.3,33.3,12.5,rain,0,0,39.6,28.1,269.2,1007.2,53.8,24.1,291.1,25.1,8,10,2023-07-02T05:35:56,2023-07-02T22:01:04,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-07-03,21.5,9.7,16.1,21.5,7.8,16,8.3,62.5,0.4,38.1,4.17,rain,0,0,42.1,31.7,243,1010.3,74.7,24.1,257.2,22.3,5,10,2023-07-03T05:36:39,2023-07-03T22:00:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-07-04,21.5,10.3,15.3,21.5,10.3,15.3,8.9,67.9,1.4,33.3,16.67,rain,0,0,50,31.3,220.7,1008,81.6,22.7,177.5,15.3,6,10,2023-07-04T05:37:24,2023-07-04T22:00:17,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-07-05,20.1,9.5,14.9,20.1,7.6,14.6,8.8,69.1,0.6,23.8,16.67,rain,0,0,32,21.2,256.2,1013.9,53.9,23.6,175.8,15.7,5,10,2023-07-05T05:38:11,2023-07-05T21:59:49,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-07-06,21.6,10.1,16.3,21.6,10.1,16.3,8.8,63.5,0.8,19,8.33,rain,0,0,32.8,26.6,247.6,1018.5,55.6,24.1,247.7,21.3,5,10,2023-07-06T05:39:01,2023-07-06T21:59:18,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Lierde, Vlaanderen, BelgiÃ«",2023-07-07,24.8,10.6,17.5,24.8,10.6,17.5,9.4,62.6,0,33.3,0,,0,0,29.2,24.1,241.3,1019.3,72.7,24.1,315.5,27.5,8,10,2023-07-07T05:39:53,2023-07-07T21:58:44,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
